grid_id,risk_score,positive_rate,samples
0_14,0.10311330402116031,0.0,1
0_2,0.3383253460431445,0.0,1
0_23,0.26444665975348447,0.0,1
0_6,0.18657615685841036,0.0,1
100_1,0.11221823357855035,0.0,1
100_12,0.14807013639837585,0.0,1
100_13,0.8817019623342076,1.0,1
100_14,0.19692013061266972,0.0,1
100_15,0.8372308585012402,1.0,1
100_20,0.8330672491925946,1.0,1
100_22,0.26325099586724127,0.0,1
100_3,0.505797171868368,1.0,1
100_5,0.12109696345237236,0.0,1
101_16,0.7141426338364671,1.0,1
101_17,0.03536639501422071,0.0,1
101_20,0.08598767443088627,0.0,1
102_11,0.020842324175803905,0.0,1
102_14,0.019947393355550527,0.0,1
102_18,0.021030558394855774,0.0,1
103_15,0.9929720013265894,1.0,1
103_17,0.6070646561732567,1.0,1
103_21,0.034525008411792395,0.0,1
103_22,0.2225757107211447,0.0,1
103_24,0.9719477201181013,1.0,1
103_7,0.054874743212650776,0.0,1
103_8,0.07676582854914454,0.0,1
104_1,0.7745485572452383,1.0,1
104_15,0.9412605539062492,1.0,1
104_18,0.34065237995605846,0.0,1
104_2,0.9946145310406298,1.0,1
105_1,0.09832077767032664,0.0,1
105_15,0.7960240209913566,1.0,1
105_16,0.034643029055956565,0.0,1
105_19,0.9838126899200944,1.0,1
105_2,0.31223290247851043,0.0,1
105_22,0.8943405348060164,1.0,1
105_8,0.09891953710371465,0.0,1
106_24,0.6025162409193329,1.0,1
106_3,0.0173550696181756,0.0,1
106_5,0.12724041087947113,0.0,1
107_12,0.0008675045988107244,0.0,1
107_15,0.939201965593358,1.0,1
107_22,0.7043219333795959,1.0,1
108_1,0.9949818606436813,1.0,1
108_17,0.459298909761144,0.0,1
108_18,0.04110193384195428,0.0,1
108_19,0.14846237362603384,0.0,1
108_22,0.31688149683956124,0.0,1
108_9,0.7995849333992506,1.0,1
109_0,0.7611050181954525,1.0,1
109_19,0.016987512645155325,0.0,1
109_2,0.9817249556003587,1.0,1
109_20,0.06056226579477392,0.0,1
109_22,0.9946449262521737,1.0,1
109_23,0.8759741108701713,1.0,1
109_3,0.9995130912448196,1.0,1
109_4,0.39889729553285447,0.0,1
109_6,0.13894850044553927,0.0,1
10_0,0.9693274003061638,1.0,1
10_13,0.9647324643956094,1.0,1
10_16,0.5894156398435587,1.0,1
10_20,0.0860343486958865,0.0,1
10_22,0.7700373920414186,1.0,1
10_23,0.1222332313303086,0.0,1
10_24,0.01732253365155446,0.0,1
110_10,0.999333184134414,1.0,1
110_2,0.18174277533926017,0.0,1
110_24,0.9916668342104208,1.0,1
110_7,0.9995753668106421,1.0,1
110_8,0.048583140536550266,0.0,1
111_13,0.2349606420928505,0.0,1
111_18,0.9999966360930105,1.0,1
111_19,0.13706852454548502,0.0,1
111_5,0.4287102688592511,0.0,1
112_10,0.9998930954903394,1.0,1
112_12,0.12131774901021361,0.0,1
112_17,0.0379432054070064,0.0,1
112_19,0.7671261715608685,1.0,1
112_20,0.9999991825821803,1.0,1
112_23,0.011329917647425674,0.0,1
112_3,0.0035324881997522402,0.0,1
112_4,0.01669345172704327,0.0,1
112_5,0.024610227644079462,0.0,1
112_6,0.08194567547523186,0.0,1
113_7,0.8943234490197133,1.0,1
114_13,0.7202088773651654,1.0,1
114_18,0.44961806227237916,0.0,1
114_23,0.01632248890637871,0.0,1
115_0,0.5567870466258437,1.0,1
115_15,0.30612182137181937,0.0,1
115_19,0.20903269617041148,0.0,1
116_0,0.9292955822302844,1.0,1
116_2,0.4157600305084718,0.0,1
116_20,0.08134623706738225,0.0,1
116_23,0.005929201960680261,0.0,1
116_24,0.42144347022606604,0.0,1
116_9,0.9832811726299727,1.0,1
117_9,0.03224084639246726,0.0,1
118_20,0.3036919219665836,0.0,1
118_5,0.8081109829387052,1.0,1
119_11,0.20132575832676738,0.0,1
119_15,0.20100755853237476,0.0,1
119_16,0.9917604147121574,1.0,1
119_21,0.35977768941216093,0.0,1
119_3,0.012054497243103611,0.0,1
119_4,0.15837372589851437,0.0,1
119_6,0.022088892534152606,0.0,1
119_8,0.8641660105210716,1.0,1
11_1,0.01384662153732004,0.0,1
11_10,0.00828657810913095,0.0,1
11_13,0.7674205289651918,1.0,1
11_14,0.037043096562450514,0.0,1
11_17,0.9929480542181037,1.0,1
